epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5357.57,2.72406,6.02742,0.81394,0.67134,0.55872,0.67484,0.27173,2.18987,1.45452,0.81567,0.000666286,0.000666286,0.000666286
2,11431.4,2.28184,1.66845,0.80056,0.8823,0.61997,0.79447,0.39561,1.65962,0.94231,0.80191,0.00124498,0.00124498,0.00124498
3,17725.1,2.05106,1.47328,0.78987,0.73961,0.63702,0.709,0.37429,1.7365,2.36133,0.80232,0.00173567,0.00173567,0.00173567
4,22413.1,1.8788,1.33794,0.78502,0.13497,0.12989,0.13098,0.08014,1.9531,4.74465,0.81123,0.001604,0.001604,0.001604
5,26998.1,1.72413,1.23746,0.78238,0.94494,0.4227,0.62509,0.39932,1.42794,1.68053,0.79364,0.001472,0.001472,0.001472
6,31701.7,1.50926,1.10468,0.79806,0.97017,0.45537,0.6893,0.44485,1.22281,1.43314,0.78961,0.00134,0.00134,0.00134
7,36826,1.43227,1.05243,0.7966,0.30455,0.48639,0.50687,0.367,1.15705,2.66319,0.79181,0.001208,0.001208,0.001208
8,42389.8,1.37233,1.01482,0.79278,0.3083,0.45242,0.44498,0.31075,1.2166,2.90423,0.78846,0.001076,0.001076,0.001076
9,48008.2,1.29374,0.95608,0.7915,0.26645,0.31812,0.34083,0.25327,1.25652,3.67057,0.79446,0.000944,0.000944,0.000944
10,53417.4,1.26937,0.92423,0.78976,0.57476,0.56209,0.66183,0.49005,1.0319,1.96296,0.78933,0.000812,0.000812,0.000812
11,58569.8,1.21985,0.89778,0.78807,0.48361,0.64636,0.67737,0.50984,0.97045,1.59129,0.78652,0.00068,0.00068,0.00068
12,63922.9,1.20012,0.89417,0.78872,0.64434,0.57869,0.68573,0.52459,0.89529,1.94178,0.7839,0.000548,0.000548,0.000548
13,69621.1,1.14909,0.85371,0.78745,0.78787,0.66347,0.77891,0.59254,0.91801,1.40704,0.78317,0.000416,0.000416,0.000416
14,75125,1.11379,0.83384,0.78655,0.89135,0.62536,0.77918,0.59632,0.91955,1.64266,0.78432,0.000284,0.000284,0.000284
15,80500.4,1.06458,0.80049,0.78643,0.83436,0.6308,0.76939,0.59355,0.90532,1.66562,0.78395,0.000152,0.000152,0.000152
